video_id,channel_title,category,publish_date,publish_hour,publish_day_of_week,trending_date,days_to_trend,views,likes,dislikes,comment_count,title_length,tags_count,like_ratio,comment_ratio,engagement_score
vid_00078,Dude Perfect,Comedy,2023-03-01,2,Wednesday,2023-03-03,2,13653770,925234,57397,98463,73,17,0.0678,0.0072,0.075
vid_00079,Tasty,Howto & Style,2023-02-11,16,Saturday,2023-02-11,0,2284100,224312,4670,7411,63,26,0.0982,0.0032,0.1015
vid_00080,ESPN,Sports,2024-03-10,14,Sunday,2024-03-11,1,3993527,290232,21663,18622,79,26,0.0727,0.0047,0.0773
vid_00081,The Weeknd,Music,2023-12-20,1,Wednesday,2023-12-23,3,9291919,674709,45573,55235,38,18,0.0726,0.0059,0.0786
vid_00082,James Charles,Howto & Style,2024-01-22,13,Monday,2024-01-23,1,3691116,321711,16135,13916,59,24,0.0872,0.0038,0.0909
vid_00083,3Blue1Brown,Education,2024-02-27,13,Tuesday,2024-03-01,3,477759,41243,4160,5519,59,15,0.0863,0.0116,0.0979
vid_00084,Smosh,Comedy,2023-06-02,13,Friday,2023-06-03,1,1140063,41442,1412,15870,73,15,0.0364,0.0139,0.0503
vid_00085,Jubilee,Entertainment,2023-04-10,9,Monday,2023-04-10,0,5065464,419014,31300,96162,60,24,0.0827,0.019,0.1017
vid_00086,MSNBC,News & Politics,2023-10-31,14,Tuesday,2023-10-31,0,6401933,456091,60646,78586,77,20,0.0712,0.0123,0.0835
vid_00087,NBA,Sports,2024-01-13,15,Saturday,2024-01-14,1,1040152,67349,9515,20116,27,7,0.0647,0.0193,0.0841
vid_00088,Drake VEVO,Music,2024-01-13,11,Saturday,2024-01-14,1,6260320,227919,53863,52728,69,18,0.0364,0.0084,0.0448
vid_00089,IGN,Film & Animation,2023-06-30,16,Friday,2023-07-01,1,1822943,58506,6447,30709,54,8,0.0321,0.0168,0.0489
vid_00090,MSNBC,News & Politics,2023-03-07,14,Tuesday,2023-03-09,2,2395037,207421,18239,42911,49,11,0.0866,0.0179,0.1045
vid_00091,Kurzgesagt,Education,2024-01-31,22,Wednesday,2024-02-02,2,861687,88162,2237,6716,37,11,0.1023,0.0078,0.1101
vid_00092,Bad Bunny,Music,2023-04-08,1,Saturday,2023-04-08,0,9090889,1083138,39528,91040,30,6,0.1191,0.01,0.1292
vid_00093,NBA,Sports,2023-12-15,17,Friday,2023-12-19,4,4562704,455709,42783,40122,61,20,0.0999,0.0088,0.1087
vid_00094,Valkyrae,Gaming,2023-04-11,5,Tuesday,2023-04-12,1,1680350,163965,3239,26595,33,17,0.0976,0.0158,0.1134
vid_00095,Dream,Gaming,2023-12-10,5,Sunday,2023-12-13,3,4817083,535802,40647,55826,63,7,0.1112,0.0116,0.1228
vid_00096,Screen Junkies,Film & Animation,2023-11-01,13,Wednesday,2023-11-04,3,5176735,336633,47359,16483,53,29,0.065,0.0032,0.0682
vid_00097,Ninja,Gaming,2024-05-11,11,Saturday,2024-05-18,7,1560386,59631,14902,13151,64,23,0.0382,0.0084,0.0466
vid_00098,WWE,Sports,2024-06-08,7,Saturday,2024-06-08,0,3025923,262847,11011,32146,52,13,0.0869,0.0106,0.0975
vid_00099,BBC News,News & Politics,2023-05-11,14,Thursday,2023-05-11,0,2897685,172643,22518,41821,82,27,0.0596,0.0144,0.074
vid_00100,Sky Sports,Sports,2023-01-18,11,Wednesday,2023-01-20,2,4613170,176262,7002,52613,83,7,0.0382,0.0114,0.0496
vid_00101,MSNBC,News & Politics,2024-03-06,15,Wednesday,2024-03-09,3,2975651,236438,26749,31262,50,18,0.0795,0.0105,0.09
vid_00102,DramaAlert,Entertainment,2023-12-20,19,Wednesday,2023-12-20,0,1808260,77518,11869,28833,32,10,0.0429,0.0159,0.0588
vid_00103,3Blue1Brown,Education,2024-02-13,14,Tuesday,2024-02-14,1,1159926,45354,8477,5138,84,27,0.0391,0.0044,0.0435
vid_00104,Drake VEVO,Music,2024-05-29,14,Wednesday,2024-05-30,1,3430161,129095,14984,67824,30,18,0.0376,0.0198,0.0574
vid_00105,3Blue1Brown,Education,2023-05-17,7,Wednesday,2023-05-21,4,1805983,114423,17202,30372,27,29,0.0634,0.0168,0.0802
vid_00106,MSNBC,News & Politics,2023-11-11,17,Saturday,2023-11-12,1,1013116,101254,4881,12656,81,13,0.0999,0.0125,0.1124
vid_00107,LazarBeam,Entertainment,2023-08-26,18,Saturday,2023-08-27,1,2950590,329202,16032,14429,77,15,0.1116,0.0049,0.1165
vid_00108,Taylor Swift,Music,2024-04-13,11,Saturday,2024-04-14,1,4926493,172758,10137,24730,76,29,0.0351,0.005,0.0401
vid_00109,Goal,Sports,2023-02-18,10,Saturday,2023-02-25,7,2222632,196544,13892,34857,76,21,0.0884,0.0157,0.1041
vid_00110,Smosh,Comedy,2023-12-26,14,Tuesday,2023-12-26,0,2291674,127678,6903,40714,71,24,0.0557,0.0178,0.0735
vid_00111,Veritasium,Education,2024-02-19,9,Monday,2024-02-19,0,2068522,241375,20124,6632,61,19,0.1167,0.0032,0.1199
vid_00112,TwoMinutePapers,Science & Tech,2023-03-08,21,Wednesday,2023-03-11,3,1435618,52603,13959,17823,45,14,0.0366,0.0124,0.0491
vid_00113,WWE,Sports,2023-08-11,10,Friday,2023-08-16,5,2828349,218005,20538,38747,84,8,0.0771,0.0137,0.0908
vid_00114,BBC News,News & Politics,2023-09-30,16,Saturday,2023-10-02,2,10077776,832306,14199,184621,78,20,0.0826,0.0183,0.1009
vid_00115,CinemaWins,Film & Animation,2023-09-07,8,Thursday,2023-09-12,5,1623743,89771,14633,31106,90,28,0.0553,0.0192,0.0744
vid_00116,Smosh,Comedy,2023-05-31,17,Wednesday,2023-06-01,1,14413036,792202,74562,89332,89,13,0.055,0.0062,0.0612
vid_00117,Dude Perfect,Comedy,2024-02-01,18,Thursday,2024-02-08,7,1309508,80929,2225,16921,87,9,0.0618,0.0129,0.0747
vid_00118,Ninja,Gaming,2023-07-08,14,Saturday,2023-07-09,1,2628864,152099,18829,44255,66,11,0.0579,0.0168,0.0747
vid_00119,CinemaWins,Film & Animation,2023-11-09,10,Thursday,2023-11-10,1,13457666,600689,113082,248775,65,28,0.0446,0.0185,0.0631
vid_00120,Ninja,Gaming,2023-07-30,16,Sunday,2023-08-01,2,695559,79255,978,12327,44,20,0.1139,0.0177,0.1317
vid_00121,Tasty,Howto & Style,2023-10-02,15,Monday,2023-10-02,0,4328266,140119,35902,40685,81,8,0.0324,0.0094,0.0418
vid_00122,Ninja,Gaming,2023-01-09,8,Monday,2023-01-11,2,507956,59579,4340,8795,44,7,0.1173,0.0173,0.1346
vid_00123,Valkyrae,Gaming,2023-07-04,16,Tuesday,2023-07-04,0,5907632,426426,20444,59383,67,26,0.0722,0.0101,0.0822
vid_00124,Lilly Singh,Comedy,2024-06-04,15,Tuesday,2024-06-07,3,2510509,249064,21707,47852,29,24,0.0992,0.0191,0.1183
vid_00125,Jubilee,Entertainment,2024-06-28,17,Friday,2024-07-05,7,3634048,189920,7858,38736,37,19,0.0523,0.0107,0.0629
vid_00126,Jubilee,Entertainment,2024-05-08,5,Wednesday,2024-05-08,0,3853568,194905,25291,55564,70,16,0.0506,0.0144,0.065
vid_00127,Jacksepticeye,Gaming,2023-10-18,14,Wednesday,2023-10-18,0,3018313,187843,21261,14881,47,7,0.0622,0.0049,0.0672
vid_00128,Goal,Sports,2023-12-05,10,Tuesday,2023-12-07,2,9684638,743922,57789,169356,54,19,0.0768,0.0175,0.0943
vid_00129,Goal,Sports,2023-05-20,1,Saturday,2023-05-21,1,3071478,247206,14225,54989,61,26,0.0805,0.0179,0.0984
vid_00130,ESPN,Sports,2023-08-30,12,Wednesday,2023-08-30,0,4692287,438105,10451,31064,79,27,0.0934,0.0066,0.1
vid_00131,Bad Bunny,Music,2023-04-19,12,Wednesday,2023-04-19,0,14944497,467897,94288,133902,73,23,0.0313,0.009,0.0403
vid_00132,Bad Bunny,Music,2024-06-26,11,Wednesday,2024-06-28,2,1940277,216096,10915,17307,60,5,0.1114,0.0089,0.1203
vid_00133,ESPN,Sports,2024-05-12,17,Sunday,2024-05-17,5,547843,55073,3615,5336,61,29,0.1005,0.0097,0.1103
vid_00134,3Blue1Brown,Education,2024-03-13,10,Wednesday,2024-03-15,2,383950,27384,2086,7548,42,25,0.0713,0.0197,0.091
vid_00135,MrBeast,Entertainment,2023-06-18,13,Sunday,2023-06-19,1,3347871,199491,10583,46092,41,7,0.0596,0.0138,0.0734
vid_00136,Fireship,Science & Tech,2024-02-13,9,Tuesday,2024-02-16,3,1608979,74607,14595,14281,71,21,0.0464,0.0089,0.0552
vid_00137,Valkyrae,Gaming,2024-03-29,10,Friday,2024-04-04,6,942936,68510,2405,13529,62,28,0.0727,0.0143,0.087
vid_00138,Smosh,Comedy,2023-09-13,6,Wednesday,2023-09-19,6,1635722,75130,3411,7373,75,30,0.0459,0.0045,0.0504
vid_00139,ESPN,Sports,2024-03-07,1,Thursday,2024-03-07,0,1484860,106123,6352,9662,72,26,0.0715,0.0065,0.078
vid_00140,Kurzgesagt,Education,2023-11-16,18,Thursday,2023-11-16,0,7222818,242239,48039,119826,54,20,0.0335,0.0166,0.0501
vid_00141,LazarBeam,Entertainment,2023-06-29,15,Thursday,2023-06-29,0,3600143,134495,33437,64265,84,27,0.0374,0.0179,0.0552
vid_00142,Drake VEVO,Music,2023-03-05,5,Sunday,2023-03-06,1,4570284,468719,12160,71846,88,8,0.1026,0.0157,0.1183
vid_00143,LazarBeam,Entertainment,2023-03-16,13,Thursday,2023-03-22,6,2932887,143246,15722,27270,78,23,0.0488,0.0093,0.0581
vid_00144,TED-Ed,Education,2024-04-28,15,Sunday,2024-04-29,1,446333,31969,593,7010,77,13,0.0716,0.0157,0.0873
vid_00145,Jubilee,Entertainment,2023-04-29,13,Saturday,2023-05-03,4,10446451,550729,94612,158022,37,26,0.0527,0.0151,0.0678
vid_00146,Bad Bunny,Music,2023-02-03,11,Friday,2023-02-09,6,58706036,2327429,340116,622636,83,7,0.0396,0.0106,0.0503
vid_00147,The Young Turks,News & Politics,2024-06-14,5,Friday,2024-06-14,0,4408112,228438,19376,33400,41,30,0.0518,0.0076,0.0594
vid_00148,ESPN,Sports,2024-03-29,14,Friday,2024-03-29,0,1669227,68068,10586,30278,54,15,0.0408,0.0181,0.0589
vid_00149,3Blue1Brown,Education,2023-01-02,18,Monday,2023-01-09,7,631426,57535,3463,10365,57,30,0.0911,0.0164,0.1075
vid_00150,MrBeast,Entertainment,2023-03-13,12,Monday,2023-03-13,0,3723475,308362,18188,58356,66,5,0.0828,0.0157,0.0985
vid_00151,MrBeast,Entertainment,2023-03-11,13,Saturday,2023-03-14,3,1757224,72893,7499,13748,85,19,0.0415,0.0078,0.0493
vid_00152,3Blue1Brown,Education,2023-11-21,13,Tuesday,2023-11-27,6,3146866,195258,20303,62215,30,28,0.062,0.0198,0.0818
vid_00153,3Blue1Brown,Education,2023-06-14,15,Wednesday,2023-06-14,0,6910198,354841,16416,32687,86,17,0.0514,0.0047,0.0561
vid_00154,Markiplier,Gaming,2023-09-25,19,Monday,2023-09-29,4,1188430,55607,3042,9325,66,24,0.0468,0.0078,0.0546
vid_00155,DramaAlert,Entertainment,2023-05-31,15,Wednesday,2023-06-02,2,2370409,262425,13560,10344,73,24,0.1107,0.0044,0.1151
vid_00156,Ninja,Gaming,2023-10-04,13,Wednesday,2023-10-06,2,2483112,99531,24148,24243,52,18,0.0401,0.0098,0.0498
vid_00157,Jacksepticeye,Gaming,2023-08-14,18,Monday,2023-08-15,1,1921212,207290,6380,32449,37,15,0.1079,0.0169,0.1248
vid_00158,Valkyrae,Gaming,2023-07-24,8,Monday,2023-07-25,1,2985839,339322,18346,37218,36,7,0.1136,0.0125,0.1261
vid_00159,MrBeast,Entertainment,2024-02-11,12,Sunday,2024-02-13,2,1601144,88380,4296,25748,67,26,0.0552,0.0161,0.0713
vid_00160,Jubilee,Entertainment,2024-04-21,20,Sunday,2024-04-25,4,1900573,143844,3864,13533,31,14,0.0757,0.0071,0.0828
vid_00161,Sky Sports,Sports,2023-02-26,14,Sunday,2023-02-28,2,660811,56139,4117,5224,53,8,0.085,0.0079,0.0929
vid_00162,The Weeknd,Music,2023-07-20,17,Thursday,2023-07-20,0,4742545,369600,19109,18405,79,22,0.0779,0.0039,0.0818
vid_00163,SORTEDfood,Howto & Style,2023-12-02,15,Saturday,2023-12-04,2,379533,15977,3761,1547,59,5,0.0421,0.0041,0.0462
vid_00164,Jubilee,Entertainment,2024-05-18,12,Saturday,2024-05-22,4,7828705,414276,61393,114185,76,7,0.0529,0.0146,0.0675
vid_00165,MrBeast,Entertainment,2023-02-20,14,Monday,2023-02-21,1,2206151,184450,10383,24304,68,10,0.0836,0.011,0.0946
vid_00166,Bad Bunny,Music,2024-02-29,14,Thursday,2024-03-04,4,7933510,831080,16808,153953,44,10,0.1048,0.0194,0.1242
vid_00167,CrashCourse,Education,2024-01-03,11,Wednesday,2024-01-04,1,1275105,122127,3354,24165,81,18,0.0958,0.019,0.1147
vid_00168,The Weeknd,Music,2023-03-04,13,Saturday,2023-03-06,2,5358637,437814,12099,92763,87,21,0.0817,0.0173,0.099
vid_00169,CNN,News & Politics,2023-05-01,22,Monday,2023-05-01,0,1589222,161423,3929,10214,63,11,0.1016,0.0064,0.108
vid_00170,Kurzgesagt,Education,2023-06-08,7,Thursday,2023-06-11,3,2056543,184816,8698,24456,47,9,0.0899,0.0119,0.1018
vid_00171,BTS HYBE,Music,2023-10-01,18,Sunday,2023-10-02,1,3570302,388977,29809,34530,75,28,0.1089,0.0097,0.1186
vid_00172,MrBeast,Entertainment,2023-09-09,6,Saturday,2023-09-11,2,685410,49103,5297,5567,76,27,0.0716,0.0081,0.0798
vid_00173,MSNBC,News & Politics,2023-03-04,2,Saturday,2023-03-04,0,803576,60464,7309,5582,83,27,0.0752,0.0069,0.0822
vid_00174,Linus Tech Tips,Science & Tech,2023-08-27,7,Sunday,2023-08-29,2,2329948,259981,4781,31715,35,17,0.1116,0.0136,0.1252
vid_00175,Dude Perfect,Comedy,2023-05-01,17,Monday,2023-05-02,1,426297,48847,1711,5827,39,21,0.1146,0.0137,0.1283
vid_00176,Valkyrae,Gaming,2023-07-11,21,Tuesday,2023-07-14,3,2622018,224986,23716,31644,55,8,0.0858,0.0121,0.0979
vid_00177,DramaAlert,Entertainment,2023-04-05,8,Wednesday,2023-04-07,2,2510627,253507,9554,14005,47,29,0.101,0.0056,0.1066
vid_00178,Goal,Sports,2024-02-16,17,Friday,2024-02-18,2,5440593,179637,42774,69030,66,25,0.033,0.0127,0.0457
vid_00179,Drake VEVO,Music,2023-02-07,13,Tuesday,2023-02-10,3,2520786,274536,21152,22221,32,16,0.1089,0.0088,0.1177
vid_00180,Valkyrae,Gaming,2023-09-10,4,Sunday,2023-09-14,4,1611631,163994,4936,8942,34,25,0.1018,0.0055,0.1073
vid_00181,Smosh,Comedy,2023-12-02,14,Saturday,2023-12-04,2,1142569,108547,7735,17413,30,19,0.095,0.0152,0.1102
vid_00182,Wendover Productions,Science & Tech,2023-12-22,11,Friday,2023-12-23,1,1670410,87966,4400,14827,32,19,0.0527,0.0089,0.0615
vid_00183,Jubilee,Entertainment,2024-06-20,6,Thursday,2024-06-20,0,15708463,1755586,72379,202916,56,27,0.1118,0.0129,0.1247
vid_00184,Ninja,Gaming,2023-10-14,15,Saturday,2023-10-15,1,3375824,147866,18745,43770,61,17,0.0438,0.013,0.0568
vid_00185,Valkyrae,Gaming,2024-01-06,5,Saturday,2024-01-08,2,1913012,162665,16928,6328,33,15,0.085,0.0033,0.0883
vid_00186,Vsauce,Entertainment,2023-06-05,16,Monday,2023-06-11,6,3820108,354118,28135,71369,44,15,0.0927,0.0187,0.1114
vid_00187,DramaAlert,Entertainment,2024-05-15,11,Wednesday,2024-05-17,2,6254969,273520,40409,80044,75,9,0.0437,0.0128,0.0565
vid_00188,ESPN,Sports,2023-06-19,12,Monday,2023-06-20,1,10015848,1142738,50655,187643,41,26,0.1141,0.0187,0.1328
vid_00189,The Young Turks,News & Politics,2023-02-21,16,Tuesday,2023-02-22,1,1195798,48060,10224,23607,71,14,0.0402,0.0197,0.0599
vid_00190,DramaAlert,Entertainment,2023-07-06,17,Thursday,2023-07-06,0,3659559,304529,5463,35801,42,9,0.0832,0.0098,0.093
